geolocationLongitude,geolocationLatitude,geolocationAccuracy,geolocationAltitude,geolocationAltitudeAccuracy,geolocationHeading,geolocationSpeed,geolocationTimestamp,deviceMotionX,deviceMotionY,deviceMotionZ,deviceMotionTimestamp,deviceOrientationTrueHeading,deviceOrientationMagneticHeading,deviceOrientationHeadingAccuracy,deviceOrientationTimestamp,gyroscopeX,gyroscopeY,gyroscopeZ,gyroscopeTimestamp
-38.574239,-3.7521671,3.9000000953674316,15.296142578125,,145.999267578125,8.928112983703613,1571156546000,-0.36260986328125,10.826385498046875,-1.2471771240234375,1571156548819,,,,,0.0731964111328125,-0.0098419189453125,0.0097503662109375,1571156548868
-38.574239,-3.7521671,3.9000000953674316,15.296142578125,,145.999267578125,8.928112983703613,1571156546000,-0.7681884765625,10.579910278320312,-1.70660400390625,1571156548896,,,,,0.064453125,-0.02001953125,0.0178985595703125,1571156548948
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.53948974609375,9.072433471679688,-1.801116943359375,1571156548974,,,,,0.064453125,-0.02001953125,0.0178985595703125,1571156548948
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.53948974609375,9.072433471679688,-1.801116943359375,1571156548974,,,,,0.0070343017578125,-0.014923095703125,-0.0120391845703125,1571156549050
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.5610198974609375,9.044921875,-2.2856597900390625,1571156549050,,,,,-0.049163818359375,0.0013580322265625,-0.0069427490234375,1571156549108
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.0886383056640625,8.368942260742188,-2.0344085693359375,1571156549128,,,,,-0.049163818359375,0.0013580322265625,-0.0069427490234375,1571156549108
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.0886383056640625,8.368942260742188,-2.0344085693359375,1571156549128,,,,,-0.09130859375,0.00787353515625,0.0109710693359375,1571156549179
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.7955169677734375,8.161972045898438,-1.4709014892578125,1571156549204,,,,,-0.10516357421875,-0.0198211669921875,-0.022613525390625,1571156549261
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.3014068603515625,8.983901977539062,-1.308197021484375,1571156549282,,,,,-0.10516357421875,-0.0198211669921875,-0.022613525390625,1571156549261
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.3014068603515625,8.983901977539062,-1.308197021484375,1571156549282,,,,,-0.0978240966796875,-0.010040283203125,-0.030975341796875,1571156549358
